,zipcode,outage_count
0,11226.0,1547
1,10467.0,1240
2,11207.0,1224
3,10457.0,1142
4,11208.0,1102
5,10456.0,1055
6,10458.0,1036
7,11212.0,1033
8,11233.0,1003
9,10468.0,957
10,11221.0,934
11,11203.0,909
12,10452.0,905
13,10453.0,898
14,10472.0,827
15,11213.0,810
16,10460.0,809
17,10466.0,808
18,11225.0,747
19,11216.0,721
20,10032.0,675
21,10459.0,638
22,11206.0,632
23,10031.0,603
24,11237.0,601
25,11236.0,592
26,11385.0,575
27,11220.0,563
28,10454.0,539
29,11691.0,538
30,11210.0,510
31,10469.0,500
32,10033.0,423
33,11230.0,419
34,10455.0,416
35,11249.0,406
36,11434.0,402
37,10027.0,395
38,10451.0,389
39,10462.0,378
40,11368.0,362
41,10301.0,341
42,11235.0,336
43,10463.0,331
44,10019.0,326
45,11234.0,323
46,11433.0,316
47,11374.0,310
48,11218.0,296
49,10002.0,293
50,10029.0,291
51,11238.0,287
52,11432.0,284
53,10040.0,282
54,10025.0,281
55,11211.0,280
56,11219.0,276
57,11435.0,274
58,10473.0,265
59,10461.0,255
60,10035.0,255
61,10034.0,255
62,10304.0,249
63,10030.0,248
64,11419.0,246
65,11422.0,244
66,11214.0,242
67,11209.0,238
68,10470.0,235
69,11373.0,233
70,11413.0,232
71,11223.0,230
72,11421.0,225
73,11377.0,225
74,11412.0,224
75,11420.0,217
76,10009.0,213
77,10474.0,211
78,11229.0,209
79,11692.0,207
80,10026.0,204
81,11418.0,201
82,11204.0,198
83,11224.0,196
84,11355.0,193
85,11372.0,189
86,11222.0,187
87,11205.0,179
88,11215.0,177
89,11423.0,176
90,10314.0,163
91,11417.0,160
92,11232.0,155
93,11354.0,154
94,10039.0,144
95,11103.0,142
96,10003.0,136
97,10037.0,135
98,10011.0,134
99,10465.0,133
100,11694.0,130
101,11429.0,129
102,10023.0,128
103,10036.0,128
104,11239.0,125
105,10303.0,125
106,10302.0,124
107,11102.0,124
108,11217.0,122
109,10024.0,117
110,10305.0,116
111,10128.0,114
112,10310.0,114
113,10013.0,114
114,11375.0,110
115,11101.0,109
116,11436.0,109
117,11369.0,108
118,11416.0,107
119,11104.0,104
120,11106.0,101
121,10475.0,100
122,11201.0,99
123,10016.0,94
124,10028.0,91
125,11105.0,90
126,10014.0,89
127,11367.0,84
128,10021.0,83
129,11378.0,83
130,10306.0,81
131,11693.0,76
132,11428.0,76
133,10022.0,76
134,11228.0,73
135,11411.0,72
136,11231.0,72
137,11356.0,71
138,11415.0,65
139,11358.0,65
140,10312.0,64
141,11379.0,62
142,11365.0,61
143,10001.0,56
144,10012.0,52
145,10010.0,49
146,11427.0,49
147,11426.0,45
148,10471.0,45
149,10065.0,45
150,11414.0,44
151,11004.0,43
152,11357.0,42
153,11361.0,41
154,10308.0,40
155,10309.0,39
156,10017.0,39
157,11370.0,39
158,10018.0,34
159,10038.0,31
160,10075.0,31
161,11366.0,29
162,11364.0,26
163,11363.0,26
164,10464.0,25
165,11360.0,18
166,10307.0,13
167,10005.0,11
168,10006.0,10
169,10044.0,9
170,11001.0,8
171,11362.0,8
172,10007.0,5
173,11040.0,5
174,10004.0,2
175,11005.0,2
176,10118.0,2
177,10069.0,1
178,11241.0,1
