,,,,,Households reporting someone who uses electric medical equipment : Summarize
Topic: Environment
Subtopic: Climate
Indicator Name: Households reporting someone who uses electric medical equipment
Indicator Description: 
Notes: *Estimate is based on small numbers so should be interpreted with caution.

Year,GeoTypeName,Borough,Geography,Geography ID,Indicator Name,Number of Households,Percent of Households,Notes Number of Households,Notes Percent of Households,
2017,Citywide,New York City, New York City,1,Households reporting someone who uses electric medical equipment,"205,000",7.6,,,
2017,Borough,Bronx, Bronx,1,Households reporting someone who uses electric medical equipment,"52,000",12.3,,,
2017,Borough,Brooklyn, Brooklyn,2,Households reporting someone who uses electric medical equipment,"55,000",6.8,,,
2017,Borough,Manhattan, Manhattan,3,Households reporting someone who uses electric medical equipment,"42,000",6.3,,,
2017,Borough,Queens, Queens,4,Households reporting someone who uses electric medical equipment,"43,000",6.5,,,
2017,Borough,Staten Island, Staten Island,5,Households reporting someone who uses electric medical equipment,"14,000",9.6,,,
2017,Neighborhood (Sub-borough/PUMA),Queens,borough/PUMA) - Astoria,39,Households reporting someone who uses electric medical equipment,"5,000",7.0,,,
2017,Neighborhood (Sub-borough/PUMA),Brooklyn,borough/PUMA) - Bay Ridge,20,Households reporting someone who uses electric medical equipment,"3,000",7.2,,,
2017,Neighborhood (Sub-borough/PUMA),Queens,borough/PUMA) - Bayside/Little Neck,49,Households reporting someone who uses electric medical equipment,"1,000",4.5,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,
2017,Neighborhood (Sub-borough/PUMA),Brooklyn,borough/PUMA) - Bedford Stuyvesant,13,Households reporting someone who uses electric medical equipment,"3,000",5.9,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,
2017,Neighborhood (Sub-borough/PUMA),Queens,borough/PUMA) - Bellerose/Rosedale,51,Households reporting someone who uses electric medical equipment,"5,000",10.4,,,
2017,Neighborhood (Sub-borough/PUMA),Brooklyn,borough/PUMA) - Bensonhurst,21,Households reporting someone who uses electric medical equipment,"4,000",6.0,,,
2017,Neighborhood (Sub-borough/PUMA),Brooklyn,borough/PUMA) - Borough Park,22,Households reporting someone who uses electric medical equipment,"2,000",5.8,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,
2017,Neighborhood (Sub-borough/PUMA),Brooklyn,borough/PUMA) - Brooklyn Heights/Fort Greene,12,Households reporting someone who uses electric medical equipment,"3,000",6.2,,,
2017,Neighborhood (Sub-borough/PUMA),Brooklyn,borough/PUMA) - Brownsville/Ocean Hill,26,Households reporting someone who uses electric medical equipment,"5,000",14.2,,,
2017,Neighborhood (Sub-borough/PUMA),Brooklyn,borough/PUMA) - Bushwick,14,Households reporting someone who uses electric medical equipment,"3,000",9.0,,,
2017,Neighborhood (Sub-borough/PUMA),Manhattan,borough/PUMA) - Central Harlem,36,Households reporting someone who uses electric medical equipment,"5,000",9.8,,,
2017,Neighborhood (Sub-borough/PUMA),Manhattan,borough/PUMA) - Chelsea/Clinton/Midtown,31,Households reporting someone who uses electric medical equipment,"3,000",4.5,*Estimate is based on small numbers so should be interpreted with caution.,*Estimate is based on small numbers so should be interpreted with caution.,
