,PostalCode,OutageCustomers
0,10001,549
1,10002,1092
2,10003,967
3,10004,95
4,10005,106
5,10006,167
6,10007,2286
7,10009,656
8,10010,398
9,10011,780
10,10012,210
11,10013,1274
12,10014,904
13,10016,765
14,10017,292
15,10018,231
16,10019,1727
17,10020,3
18,10021,504
19,10022,739
20,10023,293
21,10024,470
22,10025,663
23,10026,786
24,10027,669
25,10028,485
26,10029,451
27,10030,143
28,10031,751
29,10032,600
30,10033,625
31,10034,259
32,10035,784
33,10036,454
34,10037,77
35,10038,410
36,10039,90
37,10040,399
38,10041,5
39,10044,437
40,10065,435
41,10069,1
42,10075,1052
43,10080,1
44,10107,1
45,10111,2
46,10119,2
47,10122,1
48,10123,1
49,10128,588
50,10153,11
51,10165,1
52,10170,2
53,10172,1
54,10174,1
55,10178,4
56,10271,2
57,10278,7
58,10280,13
59,10281,2
60,10282,24
61,10301,1571
62,10302,425
63,10303,607
64,10304,1157
65,10305,1246
66,10306,2531
67,10307,480
68,10308,1568
69,10309,2073
70,10310,1089
71,10312,2871
72,10314,4653
73,10451,177
74,10452,598
75,10453,454
76,10454,360
77,10455,587
78,10456,532
79,10457,1061
80,10458,935
81,10459,416
82,10460,1356
83,10461,3367
84,10462,1636
85,10463,1108
86,10464,507
87,10465,1638
88,10466,2872
89,10467,2316
90,10468,1449
91,10469,5522
92,10470,1274
93,10471,957
94,10472,1448
95,10473,1560
96,10474,443
97,10475,638
98,10502,12
99,10504,371
100,10506,254
101,10507,30
102,10509,4
103,10510,82
104,10511,3
105,10512,33
106,10514,183
107,10516,1
108,10517,12
109,10518,2
110,10520,427
111,10522,20
112,10523,209
113,10524,2
114,10528,185
115,10530,260
116,10532,6
117,10533,254
118,10535,13
119,10536,8
120,10537,29
121,10538,606
122,10541,25
123,10543,469
124,10546,46
125,10547,213
126,10548,160
127,10549,360
128,10550,821
129,10552,529
130,10553,152
131,10560,7
132,10562,444
133,10566,320
134,10567,513
135,10570,290
136,10573,465
137,10576,47
138,10577,60
139,10579,3
140,10580,302
141,10583,791
142,10588,31
143,10591,318
144,10594,27
145,10595,28
146,10596,16
147,10597,5
148,10598,509
149,10601,4
150,10603,94
151,10604,160
152,10605,209
153,10606,63
154,10607,79
155,10701,753
156,10703,172
157,10704,352
158,10705,670
159,10706,293
160,10707,99
161,10708,664
162,10709,123
163,10710,128
164,10801,513
165,10803,255
166,10804,886
167,10805,285
168,10901,8
169,10918,2
170,10920,1
171,10921,2
172,10924,35
173,10925,1
174,10940,12
175,10950,5
176,10952,6
177,10954,17
178,10956,66
179,10960,1
180,10965,1
181,10970,3
182,10976,2
183,10977,5
184,10980,2
185,10990,6
186,10994,1
187,11001,589
188,11003,18
189,11004,5371
190,11005,179
191,11010,1
192,11020,102
193,11021,23
194,11023,4
195,11024,46
196,11030,27
197,11040,804
198,11050,24
199,11096,3
200,11101,1008
201,11102,1044
202,11103,1147
203,11104,569
204,11105,2080
205,11106,678
206,11201,1355
207,11203,3752
208,11204,2772
209,11205,1230
210,11206,1441
211,11207,3173
212,11208,1151
213,11209,2310
214,11210,2413
215,11211,1663
216,11212,1167
217,11213,1288
218,11214,3252
219,11215,1581
220,11216,1135
221,11217,1065
222,11218,1585
223,11219,1699
224,11220,1509
225,11221,2954
226,11222,934
227,11223,1751
228,11224,591
229,11225,916
230,11226,1131
231,11228,2184
232,11229,3104
233,11230,1159
234,11231,1760
235,11232,384
236,11233,1104
237,11234,5752
238,11235,1387
239,11236,2701
240,11237,2680
241,11238,1670
242,11239,51
243,11249,884
244,11354,1595
245,11355,3305
246,11356,1568
247,11357,4996
248,11358,1395
249,11359,1
250,11360,1973
251,11361,1548
252,11362,685
253,11363,1212
254,11364,2565
255,11365,2806
256,11366,1913
257,11367,773
258,11368,1849
259,11369,1204
260,11370,268
261,11372,1564
262,11373,1560
263,11374,891
264,11375,2076
265,11377,1329
266,11378,2677
267,11379,4834
268,11385,4089
269,11411,2864
270,11412,2879
271,11413,1920
272,11414,2540
273,11415,330
274,11416,688
275,11417,1824
276,11418,933
277,11419,919
278,11420,2124
279,11421,445
280,11422,2332
281,11423,1104
282,11426,2315
283,11427,653
284,11428,751
285,11429,1739
286,11430,4
287,11432,1602
288,11433,1294
289,11434,2706
290,11435,2128
291,11436,1366
292,11439,3
293,11451,4
294,11501,4
295,11507,1
296,11509,18
297,11510,2
298,11514,5
299,11516,1
300,11518,2
301,11530,23
302,11542,4
303,11545,5
304,11550,1
305,11552,2
306,11557,5
307,11558,1
308,11559,49
309,11560,3
310,11561,5
311,11563,2
312,11566,8
313,11568,4
314,11570,11
315,11572,4
316,11576,11
317,11577,24
318,11579,2
319,11580,75
320,11581,54
321,11590,1
322,11598,11
323,11691,115
324,11693,135
325,11694,19
326,11697,75
327,11704,31
328,11716,3
329,11720,1
330,11725,54
331,11727,20
332,11730,1
333,11733,3
334,11735,4
335,11740,2
336,11743,46
337,11746,9
338,11753,1
339,11756,5
340,11758,1
341,11762,4
342,11767,1
343,11768,1
344,11771,28
345,11780,1
346,11791,2
347,11798,2
348,11801,1
349,11803,7
350,11901,2
351,11951,12
352,11953,1
353,11955,1
354,11959,4
355,11961,1
356,11963,1
357,11968,2
358,11978,1
359,12009,1
360,12020,18
361,12025,6
362,12043,1
363,12054,1
364,12063,1
365,12065,3
366,12067,1
367,12083,7
368,12110,2
369,12117,3
370,12118,1
371,12134,199
372,12138,16
373,12148,4
374,12170,1
375,12184,1
376,12186,1
377,12193,2
378,12198,1
379,12203,1
380,12209,1
381,12211,10
382,12303,1
383,12304,1
384,12306,2
385,12309,3
386,12345,4
387,12414,1
388,12450,1
389,12460,2
390,12461,1
391,12464,1
392,12481,1
393,12491,1
394,12513,1
395,12521,1
396,12524,1
397,12528,5
398,12529,1
399,12534,1
400,12538,1
401,12545,2
402,12550,4
403,12553,12
404,12561,6
405,12563,38
406,12564,25
407,12566,8
408,12578,1
409,12590,13
410,12592,1
411,12601,16
412,12603,3
413,12721,1
414,12732,1
415,12751,16
416,12759,4
417,12786,16
418,12789,1
419,12804,1
420,12834,1
421,12845,4
422,12846,1
423,12866,14
424,12946,1
425,12953,1
426,12962,1
427,13057,8
428,13145,1
429,13413,6
430,13417,3
431,13477,43
432,13502,1
433,13732,8
434,13795,1
435,13827,1
436,13865,1
437,13901,1
438,13905,1
439,14006,3
440,14103,1
441,14150,1
442,14210,1
443,14211,3
444,14221,8
445,14225,1
446,14226,2
447,14301,1
448,14305,2
449,14420,1
450,14445,1
451,14468,2
452,14472,1
453,14482,1
454,14502,3
455,14526,2
456,14551,8
457,14560,1
458,14580,1
459,14607,2
460,14611,1
461,14612,4
462,14615,8
463,14616,2
464,14617,1
465,14618,2
466,14623,1
467,14624,2
468,14737,1
469,14750,1
470,14845,3
471,14901,16
472,19128,7
