,Zipcode,Estimate,Margin of Error,Lower Estimate,Upper Estimate
0,10001,25026,1759,23267,26785
1,10002,74363,3183,71180,77546
2,10003,54671,2568,52103,57239
3,10004,3310,658,2652,3968
4,10005,8664,906,7758,9570
5,10006,3260,575,2685,3835
6,10007,7566,1065,6501,8631
7,10009,58267,2942,55325,61209
8,10010,34763,2362,32401,37125
9,10011,50228,2722,47506,52950
10,10012,23034,1404,21630,24438
11,10013,28657,2292,26365,30949
12,10014,29071,1629,27442,30700
13,10016,52912,2889,50023,55801
14,10017,16065,1429,14636,17494
15,10018,8135,983,7152,9118
16,10019,45521,2336,43185,47857
17,10020,0,12,0,12
18,10021,42253,2565,39688,44818
19,10022,31574,2571,29003,34145
20,10023,62228,3045,59183,65273
21,10024,60714,4545,56169,65259
22,10025,92162,4687,87475,96849
23,10026,38937,2451,36486,41388
24,10027,64728,2436,62292,67164
25,10028,47962,3242,44720,51204
26,10029,74617,3170,71447,77787
27,10030,30996,2007,28989,33003
28,10031,60280,3265,57015,63545
29,10032,59527,3355,56172,62882
30,10033,58648,3283,55365,61931
31,10034,41933,2388,39545,44321
32,10035,36999,1993,35006,38992
33,10036,28231,1955,26276,30186
34,10037,19177,1474,17703,20651
35,10038,24205,2088,22117,26293
36,10039,27090,2281,24809,29371
37,10040,45197,2322,42875,47519
38,10044,12770,1076,11694,13846
39,10065,30339,1630,28709,31969
40,10069,6504,1522,4982,8026
41,10075,22591,2134,20457,24725
42,10103,0,12,0,12
43,10110,0,12,0,12
44,10111,0,12,0,12
45,10112,0,12,0,12
46,10115,0,12,0,12
47,10119,0,12,0,12
48,10128,57993,2737,55256,60730
49,10152,0,12,0,12
50,10153,0,12,0,12
51,10154,0,12,0,12
52,10162,1240,521,719,1761
53,10165,0,12,0,12
54,10167,0,12,0,12
55,10168,0,12,0,12
56,10169,0,12,0,12
57,10170,0,12,0,12
58,10171,0,12,0,12
59,10172,0,12,0,12
60,10173,0,12,0,12
61,10174,0,12,0,12
62,10177,0,12,0,12
63,10199,0,12,0,12
64,10271,0,12,0,12
65,10278,0,12,0,12
66,10279,96,152,0,248
67,10280,9372,1360,8012,10732
68,10282,6086,908,5178,6994
69,10301,38001,2118,35883,40119
70,10302,17942,1578,16364,19520
71,10303,27164,1795,25369,28959
72,10304,42133,2309,39824,44442
73,10305,42968,2076,40892,45044
74,10306,54318,2350,51968,56668
75,10307,15053,1359,13694,16412
76,10308,28901,2130,26771,31031
77,10309,33896,2249,31647,36145
78,10310,24168,1567,22601,25735
79,10311,0,12,0,12
80,10312,61114,2715,58399,63829
81,10314,89938,3264,86674,93202
82,10451,49423,2884,46539,52307
83,10452,74379,3470,70909,77849
84,10453,78858,3261,75597,82119
85,10454,37807,2127,35680,39934
86,10455,40300,2716,37584,43016
87,10456,90479,3785,86694,94264
88,10457,74679,3547,71132,78226
89,10458,85893,3453,82440,89346
90,10459,48391,2049,46342,50440
91,10460,57514,2621,54893,60135
92,10461,51081,2400,48681,53481
93,10462,75441,3062,72379,78503
94,10463,70236,2881,67355,73117
95,10464,4322,655,3667,4977
96,10465,45066,2300,42766,47366
97,10466,74519,3394,71125,77913
98,10467,100867,3595,97272,104462
99,10468,78778,3578,75200,82356
100,10469,72550,2854,69696,75404
101,10470,15500,1191,14309,16691
102,10471,22577,1482,21095,24059
103,10472,67989,2882,65107,70871
104,10473,59627,2719,56908,62346
105,10474,11579,1482,10097,13061
106,10475,43791,3109,40682,46900
107,11001,26542,991,25551,27533
108,11003,44712,2107,42605,46819
109,11004,15297,1483,13814,16780
110,11005,2249,599,1650,2848
111,11040,41523,1551,39972,43074
112,11101,32537,1964,30573,34501
113,11102,28359,1254,27105,29613
114,11103,35419,1794,33625,37213
115,11104,25037,1641,23396,26678
116,11105,37452,1898,35554,39350
117,11106,37094,1752,35342,38846
118,11109,6127,1065,5062,7192
119,11201,64798,2199,62599,66997
120,11203,77589,2872,74717,80461
121,11204,75840,2590,73250,78430
122,11205,47866,2557,45309,50423
123,11206,87599,3531,84068,91130
124,11207,90867,3449,87418,94316
125,11208,102626,4077,98549,106703
126,11209,68368,2479,65889,70847
127,11210,62423,2537,59886,64960
128,11211,104561,4016,100545,108577
129,11212,74037,3326,70711,77363
130,11213,67382,2416,64966,69798
131,11214,90372,2786,87586,93158
132,11215,69995,2544,67451,72539
133,11216,59567,2756,56811,62323
134,11217,42461,1964,40497,44425
135,11218,73280,3073,70207,76353
136,11219,87812,3793,84019,91605
137,11220,90657,3267,87390,93924
138,11221,85582,3547,82035,89129
139,11222,36710,1555,35155,38265
140,11223,80500,2943,77557,83443
141,11224,45587,2315,43272,47902
142,11225,56072,2996,53076,59068
143,11226,96332,3131,93201,99463
144,11228,43878,1512,42366,45390
145,11229,81909,2847,79062,84756
146,11230,87188,3033,84155,90221
147,11231,37796,2115,35681,39911
148,11232,26501,1924,24577,28425
149,11233,79796,3456,76340,83252
150,11234,90372,2812,87560,93184
151,11235,76921,2459,74462,79380
152,11236,98821,3019,95802,101840
153,11237,46772,2339,44433,49111
154,11238,55102,2277,52825,57379
155,11239,12832,1169,11663,14001
156,11351,0,12,0,12
157,11354,52351,2543,49808,54894
158,11355,81358,3017,78341,84375
159,11356,24178,2206,21972,26384
160,11357,40118,2438,37680,42556
161,11358,36665,1490,35175,38155
162,11359,0,12,0,12
163,11360,18892,1940,16952,20832
164,11361,28531,1806,26725,30337
165,11362,18694,1431,17263,20125
166,11363,6834,749,6085,7583
167,11364,35866,2278,33588,38144
168,11365,43730,2759,40971,46489
169,11366,14109,1092,13017,15201
170,11367,40141,2169,37972,42310
171,11368,108661,4757,103904,113418
172,11369,30693,2001,28692,32694
173,11370,29366,1934,27432,31300
174,11371,0,12,0,12
175,11372,63107,3310,59797,66417
176,11373,96495,3541,92954,100036
177,11374,43173,2237,40936,45410
178,11375,72615,2845,69770,75460
179,11377,82021,3109,78912,85130
180,11378,39033,1843,37190,40876
181,11379,37780,1885,35895,39665
182,11385,105025,2410,102615,107435
183,11411,20473,1224,19249,21697
184,11412,37987,1850,36137,39837
185,11413,41810,2002,39808,43812
186,11414,27672,1973,25699,29645
187,11415,18464,1552,16912,20016
188,11416,26087,1695,24392,27782
189,11417,31156,1650,29506,32806
190,11418,37666,2196,35470,39862
191,11419,47955,2145,45810,50100
192,11420,47266,2041,45225,49307
193,11421,39654,2097,37557,41751
194,11422,32786,1993,30793,34779
195,11423,29532,1769,27763,31301
196,11424,40,73,0,113
197,11425,0,12,0,12
198,11426,20222,1714,18508,21936
199,11427,25096,1679,23417,26775
200,11428,19830,1481,18349,21311
201,11429,27808,1594,26214,29402
202,11430,220,138,82,358
203,11432,64282,2765,61517,67047
204,11433,36929,2219,34710,39148
205,11434,62590,2809,59781,65399
206,11435,59392,2497,56895,61889
207,11436,18955,1232,17723,20187
208,11451,0,12,0,12
209,11691,68454,3192,65262,71646
210,11692,22394,1856,20538,24250
211,11693,13029,1251,11778,14280
212,11694,21258,1683,19575,22941
213,11697,3527,819,2708,4346
