geoid,name,B19001001,"B19001001, Error",B19001002,"B19001002, Error",B19001003,"B19001003, Error",B19001004,"B19001004, Error",B19001005,"B19001005, Error",B19001006,"B19001006, Error",B19001007,"B19001007, Error",B19001008,"B19001008, Error",B19001009,"B19001009, Error",B19001010,"B19001010, Error",B19001011,"B19001011, Error",B19001012,"B19001012, Error",B19001013,"B19001013, Error",B19001014,"B19001014, Error",B19001015,"B19001015, Error",B19001016,"B19001016, Error",B19001017,"B19001017, Error"
86000US10001,"10001",13311,688,896,249,583,195,335,187,338,237,194,116,430,180,237,125,384,176,205,148,718,222,1010,304,1483,321,942,223,923,245,1232,263,3401,444
86000US10002,"10002",33790,1063,5141,852,3955,525,2555,481,1805,339,1686,484,1512,384,1351,465,1066,260,857,249,1536,341,2200,370,3006,486,2072,380,1079,247,1464,280,2505,277
86000US10003,"10003",25158,951,1509,411,452,231,529,187,552,200,406,164,630,262,758,354,387,190,577,366,1265,354,1717,414,1816,364,1506,345,1881,454,2806,421,8367,899
86000US10004,"10004",1822,352,43,26,0,12,10,16,0,12,0,12,21,25,3,4,0,12,11,13,17,21,61,38,89,111,170,113,147,90,281,119,969,293
86000US10005,"10005",4649,476,141,114,0,17,62,69,10,10,0,17,61,97,10,17,90,81,18,24,49,50,274,158,225,146,467,265,157,110,1149,354,1936,364
86000US10006,"10006",1811,290,88,110,8,15,0,12,12,19,57,63,0,12,58,71,41,52,0,12,45,46,32,41,148,85,129,86,38,36,372,147,783,240
86000US10007,"10007",2940,420,35,29,46,53,0,17,0,17,55,64,36,44,0,17,8,15,39,42,34,40,0,17,169,122,141,105,76,80,486,307,1815,362
86000US10009,"10009",29356,1180,3831,665,2259,531,996,284,1154,308,574,190,717,279,755,276,701,273,918,318,1453,352,1907,547,2995,648,2369,516,1863,492,1979,406,4885,793
86000US10010,"10010",16499,981,721,352,627,308,230,176,562,355,439,223,204,120,319,194,515,309,241,126,223,131,714,300,1635,410,978,299,1099,337,2349,715,5643,615
86000US10011,"10011",28775,1276,1515,382,1199,511,652,232,557,247,603,265,553,324,683,232,660,453,454,315,936,300,1215,380,2150,427,2320,501,1946,444,3475,696,9857,733
86000US10012,"10012",12574,700,1113,405,231,107,372,166,217,104,162,99,279,205,261,150,178,94,89,69,840,333,1023,273,812,227,1421,436,912,270,1060,263,3604,463
86000US10013,"10013",12294,910,467,173,663,216,448,203,232,110,322,156,294,150,127,76,215,94,429,279,250,115,554,151,906,272,1015,222,623,200,1216,447,4533,642
86000US10014,"10014",17139,939,637,246,364,141,217,105,393,165,353,160,404,226,293,141,234,120,372,192,418,191,884,346,1760,349,1680,373,1494,538,1521,298,6115,595
86000US10016,"10016",29005,1439,1143,368,1233,381,664,245,492,216,724,257,954,563,493,265,653,267,317,253,890,276,1405,304,2583,543,2981,606,1992,406,3321,478,9160,992
86000US10017,"10017",9858,859,390,229,161,134,170,139,213,156,424,330,231,213,46,44,271,240,162,126,486,213,638,199,850,340,537,232,1111,353,1601,443,2567,539
86000US10018,"10018",4321,380,237,114,158,105,137,93,67,63,60,48,100,53,40,38,93,70,138,105,62,41,224,120,280,148,496,169,286,113,508,174,1435,272
86000US10019,"10019",27340,1460,2146,613,1141,499,1247,657,1165,389,664,326,379,174,569,298,1157,672,628,333,713,294,1410,398,2126,438,2303,516,1376,382,2940,546,7376,888
86000US10020,"10020",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
86000US10021,"10021",22084,1280,1443,615,179,125,301,206,464,255,239,180,482,257,403,325,209,178,305,169,878,370,2182,509,1879,445,1680,394,1319,444,2495,549,7626,915
86000US10022,"10022",17977,1241,622,260,161,103,599,502,209,140,360,209,526,384,210,143,200,182,257,160,640,243,1124,435,1382,388,1641,403,1367,518,1891,501,6788,819
86000US10023,"10023",33770,1515,1577,421,877,387,749,298,656,261,812,375,685,260,567,305,448,276,248,109,1214,576,1812,520,2830,536,2848,582,2711,763,3883,781,11853,933
86000US10024,"10024",28850,1580,1494,495,801,281,416,196,491,270,293,162,653,292,560,355,489,207,464,206,1124,438,1425,380,2376,368,2859,826,1717,314,3142,819,10546,677
86000US10025,"10025",40188,1492,3839,654,1799,429,1503,425,1176,306,1159,386,940,374,631,216,932,300,781,344,1455,377,2220,450,3818,736,3503,701,2084,523,3321,513,11027,1150
86000US10026,"10026",15362,771,1686,269,1081,268,695,264,256,118,507,284,702,250,533,248,439,187,615,222,805,271,925,245,1705,349,1065,242,1130,358,1085,252,2133,299
86000US10027,"10027",23835,951,3095,450,1754,373,1157,281,789,304,599,229,951,259,932,280,998,291,713,250,1308,340,1997,387,2006,347,1833,395,1538,477,1509,343,2656,425
86000US10028,"10028",24974,1461,838,270,709,508,442,279,253,133,483,283,369,181,583,485,274,145,233,137,1180,458,1427,458,2379,464,3030,635,1531,340,2855,589,8388,1153
86000US10029,"10029",31485,1385,5914,1016,3050,458,2542,487,1914,444,1056,263,1573,330,936,273,1019,281,948,252,2211,398,2077,355,2747,444,1285,234,944,262,1523,341,1746,276
86000US10030,"10030",12817,760,1527,383,1239,363,992,321,552,204,537,189,659,308,450,182,401,171,502,196,794,249,1017,266,1296,342,866,246,533,207,652,210,800,205
86000US10031,"10031",21863,866,1922,396,1434,309,1283,415,1064,294,1229,467,820,251,500,189,984,247,828,269,1480,339,1666,357,2626,455,1601,318,1318,304,1362,292,1746,382
86000US10032,"10032",21814,1150,1776,430,1866,533,1437,395,631,218,721,228,1075,363,878,347,1017,614,879,382,1580,360,2351,480,2599,537,1751,380,1225,300,1104,364,924,345
86000US10033,"10033",19689,782,1594,365,1031,280,899,279,867,277,739,231,724,209,597,204,468,187,442,209,1553,363,1754,354,2830,531,1999,336,1226,269,1651,318,1315,286
86000US10034,"10034",15774,637,1202,244,1060,259,923,283,442,144,507,238,649,185,534,188,605,214,576,237,1021,258,1521,460,2465,403,1268,314,1118,318,1013,274,870,201
86000US10035,"10035",14740,716,3528,568,1597,316,1214,346,655,220,504,177,432,159,512,181,584,193,301,215,650,246,1068,255,1061,248,833,248,458,159,647,194,696,178
86000US10036,"10036",17437,1131,1521,408,509,197,802,573,378,150,515,197,443,186,562,218,435,214,378,281,732,301,722,255,1882,610,1553,427,1255,337,2068,462,3682,578
86000US10037,"10037",9797,689,1287,317,1036,321,475,214,433,181,371,134,410,168,338,174,238,148,220,138,864,239,895,245,923,275,766,243,652,230,572,208,317,133
86000US10038,"10038",10800,754,1282,574,561,189,475,134,306,121,359,143,229,119,283,129,339,200,60,46,255,121,437,143,886,227,590,214,794,209,906,273,3038,495
86000US10039,"10039",11490,686,1340,288,1026,267,661,290,741,289,580,194,747,255,523,236,304,129,301,134,1126,293,1069,342,1391,407,443,149,361,171,560,209,317,105
86000US10040,"10040",16100,659,1668,422,1148,457,824,254,708,191,642,283,812,267,742,201,615,232,558,184,1045,232,1461,307,1893,381,1442,294,946,210,743,177,853,213
86000US10044,"10044",5047,411,281,153,60,58,111,129,51,83,126,104,119,148,99,74,136,139,181,110,187,119,228,116,667,191,525,166,531,239,405,153,1340,307
86000US10065,"10065",15708,929,478,187,491,347,315,233,162,114,123,91,186,118,272,145,333,205,396,342,582,228,709,247,998,293,1273,360,1386,399,1622,372,6382,623
86000US10069,"10069",3106,572,548,399,119,118,59,95,35,44,68,61,69,113,50,59,65,65,26,43,89,116,0,17,237,169,170,136,120,94,230,124,1221,353
86000US10075,"10075",12075,1035,561,407,396,253,439,454,330,239,230,209,459,364,69,91,271,267,363,109,479,273,759,346,930,355,812,442,1342,595,1340,483,3295,768
86000US10103,"10103",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
86000US10110,"10110",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
86000US10111,"10111",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
86000US10112,"10112",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
86000US10115,"10115",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
86000US10119,"10119",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
86000US10128,"10128",29698,1175,1531,442,875,465,710,272,717,271,803,445,568,320,380,167,418,175,511,329,945,335,2268,564,3174,665,2565,607,2085,417,3036,431,9112,839
86000US10152,"10152",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
86000US10153,"10153",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
86000US10154,"10154",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
86000US10162,"10162",622,290,0,12,0,12,159,259,28,48,0,12,0,12,0,12,0,12,0,12,0,12,56,94,99,134,55,67,0,12,89,85,136,98
86000US10165,"10165",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
86000US10167,"10167",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
86000US10168,"10168",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
86000US10169,"10169",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
86000US10170,"10170",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
86000US10171,"10171",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
86000US10172,"10172",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
86000US10173,"10173",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
86000US10174,"10174",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
86000US10177,"10177",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
86000US10199,"10199",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
86000US10271,"10271",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
86000US10278,"10278",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
86000US10279,"10279",40,64,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,40,64
86000US10280,"10280",4524,644,137,105,92,94,30,34,0,17,17,27,45,50,35,42,19,30,0,17,28,35,269,147,521,266,322,147,289,194,786,376,1934,449
86000US10282,"10282",2499,428,49,62,23,19,30,51,32,50,0,17,21,33,37,45,12,19,0,17,0,17,82,106,73,68,162,113,165,220,83,66,1730,358
86000US10301,"10301",14466,709,1756,311,548,176,420,173,645,256,360,115,483,150,376,132,661,205,491,151,877,260,1074,226,1823,314,1012,187,937,226,1397,211,1606,237
86000US10302,"10302",5982,519,581,237,184,71,210,91,205,97,128,73,253,88,86,52,288,216,93,48,609,223,393,124,671,179,671,191,571,159,613,203,426,165
86000US10303,"10303",8490,555,934,208,432,182,216,88,245,120,215,106,153,75,177,99,245,139,271,110,819,243,691,201,928,237,653,173,991,289,1027,232,493,192
86000US10304,"10304",14928,823,1693,402,725,250,447,210,496,146,435,211,470,249,633,273,345,144,903,420,821,250,1241,333,1612,468,1721,364,860,221,998,232,1528,357
86000US10305,"10305",15379,739,672,192,584,226,607,209,468,204,485,163,672,234,717,231,374,114,268,102,1052,328,1559,505,1943,401,1547,383,1359,292,1650,310,1422,269
86000US10306,"10306",19704,754,627,164,983,230,579,159,815,257,710,193,820,286,315,131,663,189,372,129,1524,336,1582,419,2455,400,2527,488,1339,331,1960,345,2433,322
86000US10307,"10307",5068,312,111,78,101,84,62,47,168,85,168,108,171,105,110,110,173,116,262,127,216,126,404,195,399,136,716,248,365,137,596,215,1046,237
86000US10308,"10308",10245,673,288,187,260,159,183,110,134,84,242,135,175,87,114,74,194,135,131,80,480,186,821,228,1475,350,1320,269,1285,350,1611,364,1532,261
86000US10309,"10309",11750,760,483,243,637,483,336,167,376,188,333,140,66,67,107,103,314,123,328,210,805,347,780,326,1087,239,1082,289,1069,373,1894,319,2053,387
86000US10310,"10310",8678,457,852,222,225,87,338,152,345,142,92,54,200,99,230,127,158,76,307,111,482,125,583,119,1031,255,1160,211,599,144,1280,336,796,211
86000US10311,"10311",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
86000US10312,"10312",21107,863,816,263,492,232,419,137,360,114,436,168,622,180,808,246,751,266,549,196,1240,330,1743,360,2683,535,2160,334,2017,402,2963,413,3048,360
