geoid,name,B19013001,"B19013001, Error"
86000US10001,"10001",96787,9861
86000US10002,"10002",35607,2214
86000US10003,"10003",129981,8865
86000US10004,"10004",204949,12375
86000US10005,"10005",184681,14575
86000US10006,"10006",185268,26426
86000US10007,"10007",250001,
86000US10009,"10009",68220,8454
86000US10010,"10010",139188,21196
86000US10011,"10011",136208,5727
86000US10012,"10012",110490,7251
86000US10013,"10013",130675,17403
86000US10014,"10014",136154,10379
86000US10016,"10016",124647,9840
86000US10017,"10017",130417,5310
86000US10018,"10018",136360,23278
86000US10019,"10019",101651,5232
86000US10020,"10020",,
86000US10021,"10021",130968,14944
86000US10022,"10022",138661,20468
86000US10023,"10023",137347,7477
86000US10024,"10024",137126,13536
86000US10025,"10025",99067,5968
86000US10026,"10026",64716,10300
86000US10027,"10027",57010,4816
86000US10028,"10028",131013,15248
86000US10029,"10029",33801,3160
86000US10030,"10030",45555,5646
86000US10031,"10031",55721,3608
86000US10032,"10032",53690,5088
86000US10033,"10033",66902,4695
86000US10034,"10034",63556,5138
86000US10035,"10035",28408,5907
86000US10036,"10036",97720,8656
86000US10037,"10037",50686,4516
86000US10038,"10038",95640,18428
86000US10039,"10039",41363,7765
86000US10040,"10040",53199,6341
86000US10044,"10044",112658,10162
86000US10065,"10065",153002,11672
86000US10069,"10069",130556,61902
86000US10075,"10075",123854,25197
86000US10103,"10103",,
86000US10110,"10110",,
86000US10111,"10111",,
86000US10112,"10112",,
86000US10115,"10115",,
86000US10119,"10119",,
86000US10128,"10128",117926,12684
86000US10152,"10152",,
86000US10153,"10153",,
86000US10154,"10154",,
86000US10162,"10162",96555,52409
86000US10165,"10165",,
86000US10167,"10167",,
86000US10168,"10168",,
86000US10169,"10169",,
86000US10170,"10170",,
86000US10171,"10171",,
86000US10172,"10172",,
86000US10173,"10173",,
86000US10174,"10174",,
86000US10177,"10177",,
86000US10199,"10199",,
86000US10271,"10271",,
86000US10278,"10278",,
86000US10279,"10279",,
86000US10280,"10280",170385,25933
86000US10282,"10282",250001,
86000US10301,"10301",70065,5515
86000US10302,"10302",72394,10812
86000US10303,"10303",70315,9904
86000US10304,"10304",64394,4418
86000US10305,"10305",77136,5728
86000US10306,"10306",83309,4958
86000US10307,"10307",108808,13020
86000US10308,"10308",110478,6982
86000US10309,"10309",102730,9359
86000US10310,"10310",86895,8347
86000US10311,"10311",,
86000US10312,"10312",96785,5394
86000US10314,"10314",90306,5821
86000US10451,"10451",32598,3033
86000US10452,"10452",31351,2417
86000US10453,"10453",31778,2710
86000US10454,"10454",23337,3597
86000US10455,"10455",29439,2454
86000US10456,"10456",31645,2478
86000US10457,"10457",32378,2440
86000US10458,"10458",37886,3419
86000US10459,"10459",31896,2897
86000US10460,"10460",28831,3112
86000US10461,"10461",60802,5971
86000US10462,"10462",57266,2285
86000US10463,"10463",60397,4135
86000US10464,"10464",101935,30587
86000US10465,"10465",74889,5942
86000US10466,"10466",58405,5599
86000US10467,"10467",40639,1522
86000US10468,"10468",37777,2898
86000US10469,"10469",67190,5189
86000US10470,"10470",64643,6611
86000US10471,"10471",93657,10263
86000US10472,"10472",36038,2417
86000US10473,"10473",47856,4518
86000US10474,"10474",28419,9113
86000US10475,"10475",53819,6081
86000US10550,"10550",43234,5439
86000US10803,"10803",168071,16873
86000US11001,"11001",124949,10316
86000US11004,"11004",97845,14831
86000US11005,"11005",75742,35621
86000US11040,"11040",132767,8480
86000US11101,"11101",89525,11373
86000US11102,"11102",81462,7005
86000US11103,"11103",81677,2998
86000US11104,"11104",75772,3219
86000US11105,"11105",86516,4427
86000US11106,"11106",71865,7030
86000US11109,"11109",169425,36555
86000US11201,"11201",139697,6048
86000US11203,"11203",57707,3943
86000US11204,"11204",54984,3284
86000US11205,"11205",62952,4579
86000US11206,"11206",43065,3338
86000US11207,"11207",42276,2723
86000US11208,"11208",45946,3395
86000US11209,"11209",79524,4872
86000US11210,"11210",70776,3000
86000US11211,"11211",90871,4063
86000US11212,"11212",29385,2341
86000US11213,"11213",48318,4266
86000US11214,"11214",57639,2861
86000US11215,"11215",144330,7527
86000US11216,"11216",77343,4451
86000US11217,"11217",122598,10199
86000US11218,"11218",78249,4756
86000US11219,"11219",41907,2346
86000US11220,"11220",55119,2220
86000US11221,"11221",65548,4754
86000US11222,"11222",96435,7113
86000US11223,"11223",56908,6395
86000US11224,"11224",35776,3585
86000US11225,"11225",65200,3725
86000US11226,"11226",60896,3126
86000US11228,"11228",76278,5932
86000US11229,"11229",66332,2575
86000US11230,"11230",57770,3595
86000US11231,"11231",108525,11798
86000US11232,"11232",74072,8577
86000US11233,"11233",48278,2266
86000US11234,"11234",84116,2936
86000US11235,"11235",56308,2972
86000US11236,"11236",74015,3089
86000US11237,"11237",57375,3780
86000US11238,"11238",100568,6782
86000US11239,"11239",29571,3930
86000US11354,"11354",45838,4384
86000US11355,"11355",45527,1534
86000US11356,"11356",64324,5246
86000US11357,"11357",82858,6061
86000US11358,"11358",70777,5976
86000US11359,"11359",,
86000US11360,"11360",84356,8301
86000US11361,"11361",86545,7841
86000US11362,"11362",92212,12942
86000US11363,"11363",111094,18166
86000US11364,"11364",87135,8504
86000US11365,"11365",70102,7834
86000US11366,"11366",91795,16005
86000US11367,"11367",64332,8841
86000US11368,"11368",56904,3092
86000US11369,"11369",61860,4391
86000US11370,"11370",67582,8318
86000US11371,"11371",,
86000US11372,"11372",61239,4924
86000US11373,"11373",56835,3506
86000US11374,"11374",75266,4732
86000US11375,"11375",88117,3928
86000US11377,"11377",59910,3389
86000US11378,"11378",82326,5500
86000US11379,"11379",89700,5816
86000US11385,"11385",77044,2599
86000US11411,"11411",104269,6385
86000US11412,"11412",85235,5593
86000US11413,"11413",91836,6781
86000US11414,"11414",75599,10103
86000US11415,"11415",75476,7112
86000US11416,"11416",73471,7188
86000US11417,"11417",79210,5531
86000US11418,"11418",73856,6247
86000US11419,"11419",79589,3469
86000US11420,"11420",85190,4460
86000US11421,"11421",77738,5614
86000US11422,"11422",93397,4168
86000US11423,"11423",70990,5148
86000US11424,"11424",,
86000US11426,"11426",102770,14997
86000US11427,"11427",81688,5627
86000US11428,"11428",77466,9613
86000US11429,"11429",82532,7984
86000US11430,"11430",,
86000US11432,"11432",66270,2558
86000US11433,"11433",62453,4579
86000US11434,"11434",65845,3904
86000US11435,"11435",69873,4182
86000US11436,"11436",72962,8345
86000US11451,"11451",,
86000US11691,"11691",52605,3067
86000US11692,"11692",53077,7883
86000US11693,"11693",52946,12260
86000US11694,"11694",87755,7930
86000US11697,"11697",116205,25889
