geoid,name,B19052001,"B19052001, Error",B19052002,"B19052002, Error",B19052003,"B19052003, Error"
16000US3651000,"New York, NY",3191691,6027,2407855,7824,783836,6124
86000US07002,"07002",24784,758,18783,680,6001,595
86000US07008,"07008",8036,470,6358,443,1678,366
86000US07020,"07020",6046,292,5066,322,980,204
86000US07024,"07024",17396,461,12494,444,4902,489
86000US07030,"07030",24983,497,22053,490,2930,401
86000US07036,"07036",15503,399,12734,410,2769,314
86000US07047,"07047",21992,796,17430,716,4562,602
86000US07064,"07064",1283,150,1114,145,169,65
86000US07077,"07077",984,217,865,228,119,57
86000US07086,"07086",6905,335,5844,379,1061,211
86000US07093,"07093",23585,758,19484,680,4101,498
86000US07202,"07202",13284,671,10886,690,2398,398
86000US07206,"07206",8040,570,6349,466,1691,383
86000US07302,"07302",23261,838,20207,721,3054,456
86000US07305,"07305",23147,794,18367,736,4780,556
86000US07310,"07310",6019,391,5418,396,601,172
86000US07311,"07311",301,142,301,142,0,13
86000US07620,"07620",518,69,367,63,151,41
86000US07632,"07632",1906,115,1536,156,370,121
86000US07670,"07670",4670,220,4018,224,652,180
86000US08861,"08861",17576,638,13820,588,3756,532
86000US10001,"10001",13311,688,10113,725,3198,456
86000US10002,"10002",33790,1063,20404,960,13386,1004
86000US10003,"10003",25158,951,20062,963,5096,601
86000US10004,"10004",1822,352,1609,356,213,174
86000US10005,"10005",4649,476,4487,482,162,118
86000US10006,"10006",1811,290,1701,271,110,116
86000US10007,"10007",2940,420,2687,415,253,213
86000US10009,"10009",29356,1180,20120,1146,9236,796
86000US10010,"10010",16499,981,12460,808,4039,866
86000US10011,"10011",28775,1276,21474,1151,7301,960
86000US10012,"10012",12574,700,10065,711,2509,453
86000US10013,"10013",12294,910,9507,801,2787,513
86000US10014,"10014",17139,939,13582,897,3557,501
86000US10016,"10016",29005,1439,22162,1113,6843,893
86000US10017,"10017",9858,859,7560,788,2298,511
86000US10018,"10018",4321,380,3557,367,764,335
86000US10019,"10019",27340,1460,20866,1225,6474,1180
86000US10020,"10020",0,12,0,12,0,12
86000US10021,"10021",22084,1280,16816,1270,5268,758
86000US10022,"10022",17977,1241,14064,1058,3913,628
86000US10023,"10023",33770,1515,24967,1491,8803,977
86000US10024,"10024",28850,1580,22070,1361,6780,960
86000US10025,"10025",40188,1492,27935,1367,12253,1118
86000US10026,"10026",15362,771,11767,671,3595,475
86000US10027,"10027",23835,951,17498,868,6337,633
86000US10028,"10028",24974,1461,19151,1403,5823,892
86000US10029,"10029",31485,1385,19404,939,12081,1196
86000US10030,"10030",12817,760,9568,655,3249,567
86000US10031,"10031",21863,866,16849,824,5014,570
86000US10032,"10032",21814,1150,16538,1128,5276,726
86000US10033,"10033",19689,782,15914,806,3775,400
86000US10034,"10034",15774,637,12441,692,3333,358
86000US10035,"10035",14740,716,8491,574,6249,584
86000US10036,"10036",17437,1131,13349,799,4088,875
86000US10037,"10037",9797,689,6332,553,3465,477
86000US10038,"10038",10800,754,8050,580,2750,583
86000US10039,"10039",11490,686,8562,775,2928,388
86000US10040,"10040",16100,659,12511,682,3589,551
86000US10044,"10044",5047,411,3940,417,1107,289
86000US10065,"10065",15708,929,11931,739,3777,679
86000US10069,"10069",3106,572,2158,440,948,498
86000US10075,"10075",12075,1035,9145,967,2930,688
86000US10103,"10103",0,12,0,12,0,12
86000US10110,"10110",0,12,0,12,0,12
86000US10111,"10111",0,12,0,12,0,12
86000US10112,"10112",0,12,0,12,0,12
86000US10115,"10115",0,12,0,12,0,12
86000US10119,"10119",0,12,0,12,0,12
86000US10128,"10128",29698,1175,22702,1046,6996,882
86000US10152,"10152",0,12,0,12,0,12
86000US10153,"10153",0,12,0,12,0,12
86000US10154,"10154",0,12,0,12,0,12
86000US10162,"10162",622,290,430,177,192,263
86000US10165,"10165",0,12,0,12,0,12
86000US10167,"10167",0,12,0,12,0,12
86000US10168,"10168",0,12,0,12,0,12
86000US10169,"10169",0,12,0,12,0,12
86000US10170,"10170",0,12,0,12,0,12
