,Zip_Code,FIPS_Code,County_FIPS_Code,County,State_FIPS_Code,State,Jan_2022_Medicare_Benes,Jan_2022_Power_Dependent_Devices_DME,Feb_2022_Medicare_Benes,Feb_2022_Power_Dependent_Devices_DME,Mar_2022_Medicare_Benes,Mar_2022_Power_Dependent_Devices_DME,Apr_2022_Medicare_Benes,Apr_2022_Power_Dependent_Devices_DME,May_2022_Medicare_Benes,May_2022_Power_Dependent_Devices_DME,Jun_2022_Medicare_Benes,Jun_2022_Power_Dependent_Devices_DME,Jul_2022_Medicare_Benes,Jul_2022_Power_Dependent_Devices_DME,Aug_2022_Medicare_Benes,Aug_2022_Power_Dependent_Devices_DME,August,Unnamed: 0,Zipcode,Estimate,Margin of Error,Lower Estimate,Upper Estimate,geoid,median_household_income,"B19013001, Error"
0,10001,36061,61,New York ,36,NY ,4736,114,4720,107,4715,111,4720,119,4702,122,4683,118,4683,117,4677,119,2.5443660466110756,0,10001,25026,1759,23267,26785,86000US10001,96787.0,9861.0
1,10002,36061,61,New York ,36,NY ,18738,460,18731,445,18773,446,18799,458,18806,455,18786,465,18833,472,18867,488,2.5865267398102505,1,10002,74363,3183,71180,77546,86000US10002,35607.0,2214.0
2,10003,36061,61,New York ,36,NY ,8932,237,8913,235,8896,235,8907,229,8887,222,8888,229,8879,243,8878,239,2.6920477585041676,2,10003,54671,2568,52103,57239,86000US10003,129981.0,8865.0
3,10004,36061,61,New York ,36,NY ,811,16,807,17,809,17,808,18,809,16,812,16,812,19,810,17,2.0987654320987654,3,10004,3310,658,2652,3968,86000US10004,204949.0,12375.0
4,10005,36061,61,New York ,36,NY ,325,11,328,11,331,11,326,11,334,11,340,11,340,11,339,11,3.2448377581120944,4,10005,8664,906,7758,9570,86000US10005,184681.0,14575.0
5,10006,36061,61,New York ,36,NY ,500,30,501,29,502,29,503,28,532,31,535,33,533,32,533,27,5.065666041275797,5,10006,3260,575,2685,3835,86000US10006,185268.0,26426.0
6,10007,36061,61,New York ,36,NY ,912,12,925,14,917,15,920,17,930,18,929,16,927,18,929,19,2.045209903121636,6,10007,7566,1065,6501,8631,86000US10007,250001.0,
7,10009,36061,61,New York ,36,NY ,10958,264,10945,258,10959,259,10973,261,10969,263,10976,267,10982,275,11001,287,2.6088537405690393,7,10009,58267,2942,55325,61209,86000US10009,68220.0,8454.0
8,10010,36061,61,New York ,36,NY ,4632,93,4613,96,4631,94,4634,102,4630,100,4627,103,4630,107,4645,108,2.32508073196986,8,10010,34763,2362,32401,37125,86000US10010,139188.0,21196.0
9,10011,36061,61,New York ,36,NY ,8336,137,8337,136,8347,143,8336,141,8339,144,8358,147,8371,147,8382,153,1.825340014316392,9,10011,50228,2722,47506,52950,86000US10011,136208.0,5727.0
10,10012,36061,61,New York ,36,NY ,3112,53,3093,48,3103,48,3098,50,3085,52,3080,55,3081,54,3084,56,1.8158236057068744,10,10012,23034,1404,21630,24438,86000US10012,110490.0,7251.0
11,10013,36061,61,New York ,36,NY ,4412,76,4399,77,4413,80,4408,78,4396,73,4399,77,4406,80,4419,81,1.8329938900203666,11,10013,28657,2292,26365,30949,86000US10013,130675.0,17403.0
12,10014,36061,61,New York ,36,NY ,4608,70,4592,69,4590,69,4596,76,4590,76,4588,77,4600,73,4607,71,1.5411330583894074,12,10014,29071,1629,27442,30700,86000US10014,136154.0,10379.0
13,10016,36061,61,New York ,36,NY ,7474,157,7457,154,7445,159,7411,162,7416,162,7431,165,7434,161,7429,173,2.328711805088168,13,10016,52912,2889,50023,55801,86000US10016,124647.0,9840.0
14,10017,36061,61,New York ,36,NY ,3432,48,3429,45,3435,50,3435,52,3431,54,3417,53,3431,50,3447,50,1.450536698578474,14,10017,16065,1429,14636,17494,86000US10017,130417.0,5310.0
15,10018,36061,61,New York ,36,NY ,1595,39,1580,35,1582,35,1585,37,1586,38,1571,36,1571,33,1575,34,2.158730158730159,15,10018,8135,983,7152,9118,86000US10018,136360.0,23278.0
16,10019,36061,61,New York ,36,NY ,6977,151,6954,146,6970,149,6974,147,6951,147,6957,152,6961,155,6953,153,2.2004889975550124,16,10019,45521,2336,43185,47857,86000US10019,101651.0,5232.0
18,10021,36061,61,New York ,36,NY ,9298,176,9283,172,9255,169,9278,178,9251,184,9232,186,9220,184,9216,168,1.8229166666666667,18,10021,42253,2565,39688,44818,86000US10021,130968.0,14944.0
