,GoogleMapsAddress,TimeCrawled,PostalCode,Latitude,Longitude,StreetNumber,StreetAddress,Neighborhood,Borough,County,State,PostalSuffix,CurrentOverallRanking,PlaceID,OutageCustomers,Problem,CrewStatus,Cause,UniqueID,DateCrawled,TimeStampCrawled,DateFixed
65994,106 LEILA ST,53:46.0,,40.7127753,-74.0059728,,,,,,New York,,,ChIJOwg_06VPwokRYv534QaPC8g,1,No Lights,Crews have been dispatched and should arrive soon. We'll provide additional information once it's available.,We'll provide details when we complete the investigation.,1,2022-10-17T04:00:00.000Z,1666036427,2022-10-18T12:42:29.000Z
65995,108 LEILA ST,53:51.0,,40.7407028,-73.8536122,,108th Street,,Queens,Queens County,New York,,,ChIJ5XoWGtJfwokR0EPVEicKNzE,1,No Lights,Crews have been dispatched and should arrive soon. We'll provide additional information once it's available.,We'll provide details when we complete the investigation.,1,2022-10-17T04:00:00.000Z,1666036431,2022-10-18T12:42:29.000Z
65996,11,10:38.0,,40.7531943,-73.9467457,,11th Street,,Queens,Queens County,New York,,,ChIJ5UjzaSZZwokRx0bgBXdW8YA,9,Building Outage,An outage has recently been reported in your area. Crews will be dispatched soon. We'll provide additional information once it's available.,We'll provide details when we complete the investigation.,1,2022-10-17T04:00:00.000Z,1666019438,2022-10-18T09:42:07.000Z
65997,112 LEILA ST,53:52.0,,40.7127753,-74.0059728,,,,,,New York,,,ChIJOwg_06VPwokRYv534QaPC8g,1,No Lights,Crews have been dispatched and should arrive soon. We'll provide additional information once it's available.,We'll provide details when we complete the investigation.,1,2022-10-17T04:00:00.000Z,1666036432,2022-10-18T12:42:29.000Z
65998,113 LEILA ST,53:50.0,,40.7127753,-74.0059728,,,,,,New York,,,ChIJOwg_06VPwokRYv534QaPC8g,1,No Lights,Crews have been dispatched and should arrive soon. We'll provide additional information once it's available.,We'll provide details when we complete the investigation.,1,2022-10-17T04:00:00.000Z,1666036430,2022-10-18T00:40:56.000Z
65999,114 LEILA ST,53:48.0,,40.7549562,-73.8538398,,114th Street,,Queens,Queens County,New York,,,ChIJLQSZxMJfwokRMmK86CLfc1c,1,No Lights,Crews have been dispatched and should arrive soon. We'll provide additional information once it's available.,We'll provide details when we complete the investigation.,1,2022-10-17T04:00:00.000Z,1666036429,2022-10-18T09:42:07.000Z
66000,116 LEILA ST,02:58.0,,40.8050482,-73.956822,,West 116th Street,,Manhattan,New York County,New York,,,ChIJD9EziRb2wokR-IUox_93g8E,1,Area Outage,Crews will be dispatched soon. We'll provide additional information once it's available.,We'll provide details when we complete the investigation.,1,2022-10-17T04:00:00.000Z,1666044179,2022-10-18T12:42:29.000Z
66002,13,53:41.0,,40.7568983,-73.9408705,,13th Street,,Queens,Queens County,New York,,,ChIJ1YcgBM1YwokRV9Aq4cXWZmo,3,No Lights,Crews have been dispatched and should arrive soon. We'll provide additional information once it's available.,We'll provide details when we complete the investigation.,1,2022-10-17T04:00:00.000Z,1666036422,2022-10-18T12:42:29.000Z
66003,14,04:39.0,,40.7671732,-73.9328996,,14th Street,,Queens,Queens County,New York,,,ChIJT6vvdzVfwokRyFA541NAEKM,1,Partial Outage,Crews have been dispatched and should arrive soon. We'll provide additional information once it's available.,We'll provide details when we complete the investigation.,1,2022-10-17T04:00:00.000Z,1666037080,2022-10-18T00:40:57.000Z
66004,17,56:04.0,,40.660925,-73.986644,,17th Street,,Brooklyn,Kings County,New York,,,ChIJLSMrbuFawokRyCGLo5pzWvc,8,No Lights,Crews have been dispatched and should arrive soon. We'll provide additional information once it's available.,We'll provide details when we complete the investigation.,1,2022-10-17T04:00:00.000Z,1666036565,2022-10-18T03:41:23.000Z
66005,27,35:43.0,,40.6544695,-73.9212228,,New York 27,,,,New York,,,ChIJzRpw-SRbwokRvD389N5pjSA,2,Burning Wires,Crews have been dispatched and should arrive soon. We'll provide additional information once it's available.,We'll provide details when we complete the investigation.,1,2022-10-17T04:00:00.000Z,1666060543,2022-10-18T09:42:09.000Z
66007,45,49:32.0,,40.7560956,-73.7793278,,45th Drive,,Queens,Queens County,New York,,,ChIJVaDePNthwokR8VamRLzokZg,2,Partial Outage,An outage has recently been reported in your area. Crews will be dispatched soon. We'll provide additional information once it's available.,We'll provide details when we complete the investigation.,1,2022-10-17T04:00:00.000Z,1666000172,2022-10-17T15:39:48.000Z
66008,5,52:36.0,,40.6222529,-74.1897225,,5th Street,Bloomfield,Staten Island,Richmond County,New York,,,ChIJSfigXuBMwokR5oWoCgr6oyk,2,Partial Outage,An outage has recently been reported in your area. Crews will be dispatched soon. We'll provide additional information once it's available.,We'll provide details when we complete the investigation.,1,2022-10-17T04:00:00.000Z,1666000356,2022-10-17T15:39:48.000Z
66009,5,25:53.0,,40.6222529,-74.1897225,,5th Street,Bloomfield,Staten Island,Richmond County,New York,,,ChIJSfigXuBMwokR5oWoCgr6oyk,1,Partial Outage,Crews have been dispatched and should arrive soon. We'll provide additional information once it's available.,We'll provide details when we complete the investigation.,1,2022-10-17T04:00:00.000Z,1666038354,2022-10-18T03:41:24.000Z
66022,11,02:41.0,,40.7531943,-73.9467457,,11th Street,,Queens,Queens County,New York,,,ChIJ5UjzaSZZwokRx0bgBXdW8YA,1,Area Outage,Crews have been dispatched and should arrive soon. We'll provide additional information once it's available.,We'll provide details when we complete the investigation.,1,2022-10-16T04:00:00.000Z,1665914562,2022-10-16T15:36:51.000Z
66024,12,03:20.0,,40.763219,-73.9376519,,12th Street,,Queens,Queens County,New York,,,ChIJia9ZYstYwokRS93id9ZwjAA,1,Partial Outage,Crews have been dispatched and should arrive soon. We'll provide additional information once it's available.,We'll provide details when we complete the investigation.,1,2022-10-16T04:00:00.000Z,1665929000,2022-10-16T18:37:12.000Z
66027,19,43:02.0,,40.7807263,-73.9186172,,19th Street,Ditmars Steinway,Queens,Queens County,New York,,,ChIJz-x9ulpfwokRrA0z5zglUgw,3,No Lights,Crews will be dispatched soon. We'll provide additional information once it's available.,We'll provide details when we complete the investigation.,1,2022-10-16T04:00:00.000Z,1665963782,2022-10-17T03:38:22.000Z
66029,26,59:19.0,,40.777202,-73.9150901,,26th Street,,Queens,Queens County,New York,,,ChIJGWb7A11fwokRr7rY6zW_p1o,2,Area Outage,Crews have been dispatched and should arrive soon. We'll provide additional information once it's available.,We'll provide details when we complete the investigation.,1,2022-10-16T04:00:00.000Z,1665914360,2022-10-16T15:36:51.000Z
66030,27,58:42.0,,40.6544695,-73.9212228,,New York 27,,,,New York,,,ChIJzRpw-SRbwokRvD389N5pjSA,1,Building Outage,Crews have been dispatched and should arrive soon. We'll provide additional information once it's available.,We'll provide details when we complete the investigation.,1,2022-10-16T04:00:00.000Z,1665939523,2022-10-16T21:37:37.000Z
66032,44,23:09.0,,40.6428025,-73.9974554,,44th Street,,Brooklyn,Kings County,New York,,,ChIJuf1iz81awokRkdkirDYS_oY,3,Partial Outage,An outage has recently been reported in your area. Crews will be dispatched soon. We'll provide additional information once it's available.,We'll provide details when we complete the investigation.,1,2022-10-16T04:00:00.000Z,1665894190,2022-10-16T09:36:05.000Z
66040,13,33:13.0,,40.7568983,-73.9408705,,13th Street,,Queens,Queens County,New York,,,ChIJ1YcgBM1YwokRV9Aq4cXWZmo,1,Partial Outage,Crews have been dispatched and should arrive soon. We'll provide additional information once it's available.,We'll provide details when we complete the investigation.,1,2022-10-15T04:00:00.000Z,1665844393,2022-10-15T18:33:41.000Z
66078,12,22:18.0,,40.763219,-73.9376519,,12th Street,,Queens,Queens County,New York,,,ChIJia9ZYstYwokRS93id9ZwjAA,1,Partial Outage,Crews have been dispatched and should arrive soon. We'll provide additional information once it's available.,We'll provide details when we complete the investigation.,1,2022-10-15T04:00:00.000Z,1665861738,2022-10-16T00:34:35.000Z
66082,17,16:21.0,,40.660925,-73.986644,,17th Street,,Brooklyn,Kings County,New York,,,ChIJLSMrbuFawokRyCGLo5pzWvc,1,Partial Outage,Crews have been dispatched and should arrive soon. We'll provide additional information once it's available.,We'll provide details when we complete the investigation.,1,2022-10-15T04:00:00.000Z,1665839782,2022-10-15T18:33:42.000Z
66084,37,46:57.0,,40.7576894,-73.9222454,,37th Street,,Queens,Queens County,New York,,,ChIJLXO6DUBfwokRRnM4izfbxJ4,2,No Lights,An outage has recently been reported in your area. Crews will be dispatched soon. We'll provide additional information once it's available.,We'll provide details when we complete the investigation.,1,2022-10-15T04:00:00.000Z,1665877617,2022-10-16T06:35:37.000Z
